Epoch,Tr_Loss,Value_Loss,Policy_Loss
0,0.5439800189601051,0.006505524815963781,0.5374744915299945
1,0.5359904302491082,0.006497779279015958,0.5294926547341876
2,0.5344011998838849,0.00677898374890636,0.5276222146219678
3,0.5335769471195009,0.006686138810058158,0.5268908043702444
4,0.5330701503488753,0.006590148774895018,0.5264800091584524
5,0.5332864224910736,0.00668463224773556,0.5266017880704668
6,0.5336918764644198,0.006495780324459904,0.5271960960494148
7,0.5328481164243486,0.006684477479817967,0.5261636426051458
8,0.534661493367619,0.006784769436724976,0.527876733077897
9,0.5337961663802465,0.006497683203696801,0.5272984835836623
10,0.5333283195892969,0.006496256400269986,0.5268320656485028
11,0.5318829864263535,0.006495680569464134,0.5253873086637921
12,0.5349746131234698,0.006590431944156687,0.5283841755655077
13,0.5343378235896429,0.006685067883230052,0.527652750412623
14,0.5355758104059432,0.006496348689931135,0.5290794637468126
15,0.5323092341423035,0.006402277918217199,0.5259069518910514
16,0.5341309706370035,0.006687889897765882,0.5274430794848336
17,0.5348426914877362,0.006684250155804723,0.5281584395302666
18,0.5321598698695501,0.006686626537392233,0.525473243660397
19,0.5348616672886742,0.006591581099200994,0.5282700922754076
20,0.5359700951311324,0.006688481539539579,0.5292816128995683
21,0.5349448919296265,0.006685677702383448,0.5282592210504744
22,0.5350122269656923,0.006495060729018102,0.5285171700848473
23,0.5343615379598405,0.00649756052249965,0.5278639809952842
24,0.5360201829009585,0.006686504380569305,0.5293336825238334
25,0.5330397817823622,0.006590691640869611,0.526449085937606
26,0.5324954042832056,0.006402358889330471,0.5260930442147784
27,0.5366970002651215,0.0065897028479311205,0.530107296175427
28,0.5344489167133967,0.006496453987589727,0.5279524624347687
29,0.5337931480672624,0.0064949289215216295,0.527298221985499
30,0.5331503666109509,0.006683996393500517,0.5264663712845908
31,0.5335001034869088,0.006684151859695299,0.5268159492148293
32,0.5362917201386558,0.006684389376257766,0.5296073340707355
33,0.5315363324350781,0.006590308104124334,0.5249460173977746
34,0.5320431424511803,0.006401935791233073,0.5256412029266357
35,0.5338841709825728,0.00649655712476734,0.5273876107401319
36,0.533352694577641,0.006592802949146264,0.5267598960134718
37,0.5342419130934609,0.0065918841333364574,0.5276500251558092
38,0.5331839538282819,0.006400934868376377,0.5267830242713293
39,0.5334559248553382,0.006590147723424404,0.5268657820092307
40,0.5337678359614478,0.006495167430128074,0.5272726681497362
41,0.533504476149877,0.006401571571665777,0.5271029074986776
42,0.5335033304161496,0.0064957685311431606,0.5270075615909364
43,0.5346688164605035,0.006401450567305271,0.5282673587401708
44,0.5323773076136907,0.006495744734214289,0.5258815669351153
45,0.5330557326475779,0.006495753194144527,0.5265599820348952
46,0.5350924498505063,0.006685367094178218,0.528407076994578
47,0.5327991512086656,0.0065894619013735995,0.5262096954716576
48,0.530188027355406,0.0064954896871414446,0.5236925366852019
49,0.5341297537088394,0.0066849575507351095,0.5274447931183709
50,0.5345730516645644,0.006401039183809114,0.5281720161437988
51,0.5341063224607043,0.0066838826751336455,0.5274224463436339
52,0.5339274042182498,0.0065899585994581384,0.527337446808815
53,0.5338753230041928,0.006589899905318614,0.5272854251994027
54,0.5326155887709724,0.0064951033434934085,0.5261204888423284
55,0.5340980705287721,0.00668401230379661,0.5274140586455663
56,0.5349004997147454,0.006495707442000922,0.5284047971169153
57,0.5340710812144809,0.006495596071343041,0.527575487891833
58,0.5338801079326205,0.006401481394321864,0.5274786270327039
59,0.5338404840893216,0.006495326052471582,0.5273451540205214
60,0.5330771025684145,0.006589632978223865,0.526487464706103
61,0.533161429895295,0.006495642592199147,0.5266657885577943
62,0.5338123225503497,0.00640107429535735,0.5274112456374698
63,0.5343695862425698,0.006778534566466179,0.5275910596052805
64,0.5315591129991744,0.006589605059060786,0.5249695049391853
65,0.5339869873391258,0.006495174098391645,0.5274918095933067
66,0.5324355065822601,0.006683565934913026,0.5257519467009438
67,0.534920205672582,0.00659052845589435,0.5283296803633372
68,0.534169336160024,0.006589610073206131,0.5275797247886658
69,0.5336436662409041,0.006589614157443672,0.527054049902492
70,0.5345289723740684,0.006495345991829203,0.5280336240927378
71,0.5321608119540744,0.0064010778355496865,0.52575973338551
72,0.5332594497336282,0.0064010283883817465,0.5268584175242318
73,0.5323928164111243,0.0067774635801798565,0.5256153543790182
74,0.5343054417106841,0.006401019169459232,0.5279044210910797
75,0.5353830754756927,0.006495552965336376,0.5288875218894746
76,0.5332190874550078,0.006495072474030571,0.5267240239514245
77,0.532655793759558,0.006495043837124588,0.5261607501241896
78,0.533056002524164,0.006401039936886516,0.5266549603806602
79,0.5354061706198586,0.006589968397747725,0.5288162016206317
80,0.5331064230865903,0.0065898641733939355,0.5265165567398071
81,0.532768663432863,0.006966475423218476,0.5258021934164895
82,0.5327899042103026,0.006495233030161924,0.5262946751382616
83,0.5341757469707065,0.006495555034942097,0.5276801917288039
84,0.5318749795357386,0.006683590505013449,0.5251913898520999
85,0.5337212632099787,0.006589140730082161,0.5271321220530404
86,0.5318065997627046,0.00658911785371351,0.5252174850967195
87,0.5343603673908446,0.006683564893642647,0.5276767975754209
88,0.5342555261320538,0.006495216861367226,0.5277603152725432
89,0.5336292054918077,0.006401013177303917,0.5272281898392571
90,0.5328331258561876,0.006777644454561798,0.5260554833544625
91,0.5339346147245831,0.006589164317119867,0.5273454437653223
92,0.5340108854903115,0.006589528997816767,0.527421353591813
93,0.5323794484138489,0.006495452289982495,0.5258840007914437
94,0.5335788908931944,0.006683946082678934,0.5268949468930563
95,0.531470368305842,0.006683987310073765,0.5247863829135895
96,0.5353212108214697,0.006589519633052987,0.5287317004468706
97,0.5342415322860082,0.006495080908494957,0.5277464555369483
98,0.5317281468047036,0.006683908778553713,0.5250442375739416
99,0.5332307037380006,0.006777613095740283,0.5264530860715442
100,0.5326371490955353,0.006495487321293088,0.5261416617367003
101,0.5330860200855467,0.0064009647022468625,0.5266850541035334
102,0.5334095988008711,0.006495050927595811,0.526914550198449
103,0.5314171976513333,0.006400981633406546,0.5250162134567896
104,0.5328928579886755,0.006778784364289297,0.526114069753223
105,0.5341001103321711,0.006589176977804022,0.5275109344058566
106,0.5327654696173139,0.006683940662898951,0.5260815305842294
107,0.5320010350810157,0.006589131875507014,0.5254119038581848
108,0.5329288360145357,0.006400989468412869,0.5265278418858846
109,0.5336415767669678,0.006683914020464322,0.5269576609134674
110,0.5329060239924325,0.0065891129161678285,0.5263169093264474
111,0.533654597070482,0.0064950443609935364,0.5271595567464828
112,0.5340819044245614,0.006589478722566532,0.5274924255079694
113,0.5355559604035484,0.006683229578710679,0.5288727283477783
114,0.5333426296710968,0.006495022818247283,0.5268476025925742
115,0.5336814605527453,0.0064009891149036475,0.5272804680797789
116,0.5336685180664062,0.0065894822538312935,0.5270790308713913
117,0.5333715660704507,0.006495054411061574,0.5268765125009749
118,0.533673624197642,0.0067775885911234785,0.526896036333508
119,0.531622514128685,0.006495101881834368,0.5251274108886719
120,0.5324098898304833,0.006495477819246137,0.5259144090943866
121,0.5322690192196105,0.0064009883039122745,0.5258680350250668
122,0.533568443523513,0.006777593387394316,0.5267908391025331
123,0.5319750722911623,0.0064009835154542494,0.5255740897523032
124,0.5340293215380775,0.006495030953828973,0.5275342911481857
125,0.533576124244266,0.00706091056261155,0.5265152206023535
