Step,Tr_Loss,Value_Loss,Policy_Loss
0,3.370419502258301,0.2709493041038513,3.0994701385498047
1,3.3306493759155273,0.24192827939987183,3.0887210369110107
2,3.37198805809021,0.2774168848991394,3.094571113586426
3,3.390587568283081,0.2943270802497864,3.0962605476379395
4,3.4015989303588867,0.28716039657592773,3.114438533782959
5,3.342613935470581,0.23847709596157074,3.1041369438171387
6,3.3871564865112305,0.30858469009399414,3.0785717964172363
7,3.383615016937256,0.27410516142845154,3.1095099449157715
8,3.3424530029296875,0.24217431247234344,3.100278615951538
9,3.355292558670044,0.25330352783203125,3.1019890308380127
10,3.3801770210266113,0.29402196407318115,3.0861551761627197
11,3.361309766769409,0.25985807180404663,3.1014516353607178
12,3.340709686279297,0.25799596309661865,3.0827138423919678
13,3.39141845703125,0.28101933002471924,3.1103992462158203
14,3.3736205101013184,0.26350730657577515,3.1101131439208984
15,3.3729114532470703,0.2719343304634094,3.1009771823883057
16,3.39225172996521,0.3002450466156006,3.0920066833496094
17,3.34346079826355,0.26142239570617676,3.082038402557373
18,3.328664779663086,0.24364274740219116,3.08502197265625
19,3.3325724601745605,0.22951073944568634,3.1030616760253906
20,3.35412859916687,0.24460726976394653,3.1095213890075684
21,3.383756160736084,0.2960317134857178,3.087724447250366
22,3.345440626144409,0.23921296000480652,3.1062276363372803
23,3.324892520904541,0.23002761602401733,3.094864845275879
24,3.331022024154663,0.24610543251037598,3.084916591644287
25,3.344315528869629,0.259529709815979,3.0847859382629395
26,3.35884952545166,0.2589140832424164,3.099935531616211
27,3.3613204956054688,0.2608429193496704,3.100477457046509
28,3.347012996673584,0.24182471632957458,3.1051883697509766
29,3.3797502517700195,0.2768220007419586,3.1029281616210938
30,3.381208658218384,0.2785947620868683,3.102613925933838
31,3.332057476043701,0.24441936612129211,3.0876381397247314
32,3.3616995811462402,0.26282063126564026,3.098878860473633
33,3.3862366676330566,0.2937179207801819,3.0925188064575195
34,3.363877773284912,0.25824207067489624,3.105635643005371
35,3.3576650619506836,0.25363337993621826,3.104031562805176
36,3.353314161300659,0.24952855706214905,3.103785514831543
37,3.3314054012298584,0.2198355793952942,3.111569881439209
38,3.3844094276428223,0.29022324085235596,3.094186305999756
39,3.332554817199707,0.23988017439842224,3.092674732208252
40,3.3564014434814453,0.25521862506866455,3.101182699203491
41,3.3469505310058594,0.2534729242324829,3.093477725982666
42,3.3643174171447754,0.24787676334381104,3.116440534591675
43,3.395970106124878,0.29592323303222656,3.1000468730926514
