epoch,total_time,data_loading,forward_pass,loss_computation,backward_pass,optimizer_step
0,8.523872662335634,0.2945432271808386,3.7292844159528613,0.16519578732550144,3.9394061090424657,0.384484039619565
1,0.8000320484861732,0.03432725928723812,0.07441751193255186,0.1376019073650241,0.1791537133976817,0.36476985178887844
2,0.7585777658969164,0.037740965373814106,0.05655772052705288,0.1426656125113368,0.14020946994423866,0.3710063314065337
3,0.7623134851455688,0.03279498964548111,0.060467636212706566,0.13892853166908026,0.1628114702180028,0.35718640498816967
4,0.7500886349007487,0.03418818302452564,0.05770243890583515,0.14060939569026232,0.15171286091208458,0.3554857186973095
5,0.746797064319253,0.03395203594118357,0.05434079747647047,0.14354137051850557,0.15547240246087313,0.34969108644872904
6,0.7550423694774508,0.03223535604774952,0.051778918132185936,0.14476987719535828,0.168732856400311,0.3488521045073867
7,0.7464644080027938,0.03432853799313307,0.052620393224060535,0.14188626315444708,0.16003234405070543,0.34875218383967876
8,0.7494689850136638,0.03363404516130686,0.050706674344837666,0.14234592486172915,0.1707167038694024,0.34355036076158285
9,0.8481582254171371,0.12012823019176722,0.057333958335220814,0.14209080301225185,0.15070399828255177,0.3685160642489791
10,0.7664975989609957,0.034988151863217354,0.05716683063656092,0.1442010449245572,0.14989417511969805,0.36942653357982635
11,0.7488406300544739,0.03434607945382595,0.05376934725791216,0.14188425708562136,0.14379670936614275,0.3653411231935024
12,0.7600789219141006,0.041373168118298054,0.055859385058283806,0.1405843673273921,0.14553298987448215,0.36607708502560854
13,0.7495146710425615,0.030699881725013256,0.05684847943484783,0.14192661922425032,0.14558139722794294,0.3644778048619628
14,0.7638774709776044,0.03121798112988472,0.060637934133410454,0.14175686426460743,0.1511788433417678,0.36927501391619444
15,0.7796194134280086,0.03428519610315561,0.05831031687557697,0.14295420981943607,0.16789765376597643,0.365757679566741
16,0.7394621893763542,0.03378581814467907,0.0513401348143816,0.14044360723346472,0.1419977741315961,0.36301179230213165
17,0.9534538201987743,0.22787980176508427,0.058027816005051136,0.1395673044025898,0.15278458315879107,0.36544124968349934
18,0.7478565080091357,0.03511401452124119,0.05550874397158623,0.1403158362954855,0.14614581316709518,0.3621386867016554
19,0.7490279898047447,0.0342195937409997,0.05426058918237686,0.1409672573208809,0.14341873303055763,0.36683927569538355
20,0.7491569044068456,0.028918618336319923,0.05461588595062494,0.1398278996348381,0.15182503499090672,0.36454812064766884
21,0.7523452499881387,0.03508428577333689,0.052591800689697266,0.1412062831223011,0.1492589032277465,0.3649697732180357
22,0.7491181185469031,0.03591755125671625,0.05263257212936878,0.13961926847696304,0.1456573735922575,0.36498686391860247
23,0.7423737505450845,0.032689545303583145,0.05374848749488592,0.14092370681464672,0.14427267760038376,0.36221818998456
24,0.7521434193477035,0.03419079631567001,0.054116375744342804,0.14038793370127678,0.14981439989060163,0.36363230273127556
25,0.7068516444414854,0.036752830259501934,0.04801058769226074,0.13916128035634756,0.10942780692130327,0.3642303477972746
26,0.7698355410248041,0.10933806467801332,0.04561486095190048,0.1392960213124752,0.10234547778964043,0.36440644413232803
27,0.7031732155010104,0.030131937004625797,0.047103763557970524,0.1396284131333232,0.11426386516541243,0.36308269295841455
28,0.7585350228473544,0.04161574970930815,0.05265012104064226,0.14096216205507517,0.14446606300771236,0.36887433752417564
29,0.7467505764216185,0.035728334449231625,0.04879588633775711,0.14461958780884743,0.15651630982756615,0.3516143402084708
30,0.7493308689445257,0.03472923766821623,0.05151045601814985,0.14055778086185455,0.15871925000101328,0.35418563801795244
31,0.7645153868943453,0.037487505935132504,0.05231978930532932,0.14431564137339592,0.1666801432147622,0.35259348060935736
32,0.7631633430719376,0.03800420090556145,0.050735387951135635,0.14570049941539764,0.16719001065939665,0.35118813440203667
33,0.874463870190084,0.14591941889375448,0.05154949985444546,0.14488802012056112,0.17197598703205585,0.3502988703548908
34,0.8594121094793081,0.13368624448776245,0.0505039943382144,0.14591234270483255,0.1653223391622305,0.35406123008579016
35,0.7575492616742849,0.03895714972168207,0.04735398292541504,0.14493932109326124,0.16464286390691996,0.35173487942665815
36,0.7455693148076534,0.03461225610226393,0.04927730653434992,0.14363603480160236,0.1616211012005806,0.34749327693134546
37,0.748260005377233,0.039129274897277355,0.047034998424351215,0.14324433915317059,0.15552473068237305,0.3533739121630788
