Epoch,Tr_Loss
0,5.077264062819943
1,4.9937901958342525
2,4.950936563553348
3,4.930298836000504
4,4.914896103643602
5,4.900227331346081
6,4.889604906882009
7,4.883546767696258
8,4.871933583290346
9,4.871375760724468
10,4.864135634514593
11,4.858237189631308
12,4.856583333784534
13,4.850044035142468
14,4.8480756974989365
15,4.844266937625024
16,4.840361349044308
17,4.838229379346294
18,4.833857736279888
19,4.830022596543835
20,4.8322936027280745
21,4.830266306477208
22,4.825885803468766
23,4.82430842614943
24,4.8222148187698854
25,4.8206043858681955
26,4.818137553430373
27,4.818945438631119
28,4.8154068146982505
29,4.8151646429492585
30,4.811313398422733
31,4.809629101907054
32,4.809293177820021
33,4.80948192842545
34,4.804741844054191
35,4.8067866602251605
36,4.804474292262908
37,4.8035992037865425
38,4.802599353175009
39,4.803330159956409
40,4.802709441031179
41,4.800835486381285
42,4.800288108087355
43,4.801636988116849
44,4.797035417249126
45,4.797918150501866
46,4.7964278651822
47,4.794381864609257
48,4.792959951585339
49,4.793322163243448
50,4.789333374269547
51,4.794401999442808
52,4.7911783956712295
53,4.791046834761096
54,4.790135752770208
55,4.788272934575235
56,4.790227397795646
57,4.787616622063421
58,4.786587868967364
59,4.78673888790992
60,4.787722049220916
61,4.784959654654226
62,4.78483856877973
63,4.785200226691462
64,4.7849217230273835
65,4.784800744825794
66,4.784628191301899
67,4.784261857309649
68,4.785555301174041
69,4.782670851676695
70,4.783445004493959
71,4.780229014735068
72,4.781415954712899
73,4.780171732748708
74,4.779644412379111
75,4.778669372681649
76,4.779213136242282
77,4.779131781670355
78,4.780169379326605
79,4.775568577551073
80,4.776437713253882
81,4.779180019132553
82,4.776222875041347
83,4.776757855569163
84,4.776008021446966
85,4.77638409214635
86,4.770733141130017
87,4.766972926355177
88,4.766206049150036
89,4.765744563071959
90,4.7634794173702115
91,4.765461337181829
92,4.761704644849224
93,4.764287133370677
94,4.762965986805577
95,4.762942252620574
96,4.761128394834457
97,4.761342017881332
98,4.760603320214056
99,4.762266666658463
100,4.760705640239101
101,4.761165741951235
102,4.760027039435602
103,4.7601667834866435
104,4.761534706238778
105,4.760566496079968
106,4.761865861954227
107,4.762393413051482
108,4.761321083191903
109,4.758988995705882
110,4.759616959479548
111,4.755139950783022
112,4.756790284187563
113,4.756404122998638
114,4.754808287466726
115,4.754735838982366
116,4.754690016469648
117,4.755322548650926
118,4.753887899460331
119,4.752572797959851
120,4.755493825481784
121,4.753307696311705
122,4.755729183073966
123,4.7527095117876605
124,4.755413301529423
125,4.754546303902903
126,4.7511135839646865
127,4.752800710739628
128,4.753366608773509
129,4.751257434968026
130,4.753425721199282
131,4.751026138182609
132,4.753510459776847
133,4.753522765251898
134,4.753323201210268
135,4.754098384611068
136,4.752870728892665
137,4.751517157400808
138,4.753386297533589
139,4.751175588177096
140,4.751013140524587
141,4.75143043456539
142,4.7542270998800955
143,4.750761662760088
144,4.751358216808688
145,4.752162487276139
